,createTime,specificEnergy (kWh/kWp),plantid,dayEnergy (kWh),irradiation (Wh/msq),kWp,plant_nr
332,2018-11-19,0.49,100127,5164.55,66.18306184,10539.897959183674,Plant1
333,2018-11-20,0.46,100127,4892.0,66.44289752,10634.782608695652,Plant1
334,2018-11-21,0.14,100127,1462.5,22.51783072,10446.42857142857,Plant1
335,2018-11-22,0.2,100127,2140.2,30.20784558,10700.999999999998,Plant1
336,2018-11-23,0.06,100127,659.29,13.23733007,10988.166666666666,Plant1
337,2018-11-24,0.17,100127,1756.38,26.22866592,10331.64705882353,Plant1
338,2018-11-25,0.26,100127,2781.49,37.45398708,10698.038461538461,Plant1
339,2018-11-26,0.96,100127,10164.21,150.4484474,10587.71875,Plant1
340,2018-11-27,1.06,100127,11204.82,183.4631104,10570.584905660377,Plant1
341,2018-11-28,0.61,100127,6444.58,100.5845516,10564.88524590164,Plant1
342,2018-11-29,0.06,100127,673.59,13.26302516,11226.500000000002,Plant1
343,2018-11-30,0.18,100127,1890.73,27.21626385,10504.055555555557,Plant1
345,2018-12-01,0.55,100127,5802.99,84.27911732,10550.890909090907,Plant1
346,2018-12-02,0.06,100127,651.9,13.21363555,10865.0,Plant1
347,2018-12-03,0.2,100127,2102.84,30.647291,10514.2,Plant1
348,2018-12-04,0.89,100127,9473.87,159.5688753,10644.797752808989,Plant1
349,2018-12-05,0.76,100127,8065.7,129.1925249,10612.763157894737,Plant1
350,2018-12-06,0.12,100127,1266.35,19.89768434,10552.916666666666,Plant1
351,2018-12-07,0.11,100127,1216.55,19.5351336,11059.545454545454,Plant1
352,2018-12-08,0.2,100127,2081.5,29.76098824,10407.5,Plant1
353,2018-12-09,0.35,100127,3669.0,54.42553379,10482.857142857143,Plant1
354,2018-12-10,0.61,100127,6485.64,110.5407319,10632.196721311477,Plant1
